N,n_runs,mean_pearson_r,std_pearson_r,min_pearson_r,max_pearson_r,n_above_095,all_above_095,mean_rmse,mean_nrmse,mean_fr_ms,mean_lba_ms,mean_init_ms,mean_speedup,h2_verdict
50000,5,0.9997660155396153,3.177011514615468e-05,0.9997162293262544,0.9997948260865768,5,True,0.00044609980778509997,0.0027558777183518,147887.2954799999,651.8221399999675,19690.35618000007,226.92883657300234,ACCEPTED
75000,5,0.999841926791348,4.71719030752067e-05,0.9997628859811356,0.9998865073185343,5,True,0.00040697587309300004,0.00256726550493976,403991.4991600004,1412.2191200001907,46503.781839999836,286.2220580370746,ACCEPTED
100000,5,0.9998854294043902,1.0764689582277115e-05,0.9998706696099636,0.999899167120208,5,True,0.00035371897846036,0.00226095007863724,816391.3126199997,2517.7135399999315,89176.08608000027,324.4471952792267,ACCEPTED
