N,churn_rate,n_batches,mean_fr_ms,mean_icc_ms,mean_efficiency_pct,std_efficiency_pct,shapiro_p,test_used,test_stat,p_value,significant,cohens_d,effect_size,h1_criterion
10000,0.01,30,4156.593066665421,22538.992436664925,-442.8161957737262,38.47407023695393,0.2791774186231466,Paired T-Test,-63.6060354277829,1.0636281288368199e-32,True,-11.61282013242315,large,ICC_SLOWER
10000,0.05,30,4618.28351333279,28196.17466333281,-514.3223539768326,57.474180285914144,0.0001528450208005943,Wilcoxon,0.0,1.862645149230957e-09,True,-15.473151169930947,large,ICC_SLOWER
10000,0.1,30,5909.124393335151,30763.202299999466,-441.66724278204856,97.186563292791,5.6440186196271416e-05,Wilcoxon,0.0,1.862645149230957e-09,True,-10.896314759521116,large,ICC_SLOWER
50000,0.01,30,149225.128506667,599418.9278366673,-302.1608311469173,15.024858539000412,0.6442735475095802,Paired T-Test,-128.71195163063234,1.5211184765381096e-41,True,-23.49947977620373,large,ICC_SLOWER
50000,0.05,30,198792.1986833339,809665.268223334,-315.8226325322986,56.09780050731936,6.746228659693766e-10,Wilcoxon,0.0,1.862645149230957e-09,True,-13.322289268505136,large,ICC_SLOWER
50000,0.1,15,222145.2729400053,907059.478840001,-317.451748862865,75.81020023610292,0.00011742942050288925,Wilcoxon,0.0,6.103515625e-05,True,-7.165654137801548,large,ICC_SLOWER
