N,mean_pearson_r,std_pearson_r,min_pearson_r,mean_rmse,mean_nrmse,mean_fr_ms,mean_lba_ms,mean_speedup,all_meet_target,h2_verdict
50000,0.9997660155396153,3.177011514614141e-05,0.9997162293262544,0.0004460998077851446,0.002755877718351858,147887.2954799999,651.8221399999675,226.92883657300234,True,ACCEPTED
75000,0.999841926791348,4.717190307521939e-05,0.9997628859811356,0.0004069758730930467,0.002567265504939815,403991.4991600004,1412.2191200001907,286.2220580370746,True,ACCEPTED
100000,0.9998854294043902,1.0764689582239059e-05,0.9998706696099637,0.00035371897846040264,0.0022609500786372845,816391.3126199997,2517.7135399999315,324.4471952792267,True,ACCEPTED
