N,churn_rate,mean_fr_ms,mean_icc_ms,mean_speedup,mean_efficiency_pct,std_efficiency_pct,test_used,test_statistic,p_value,significant,h1_criterion,n_batches_used,is_reduced_batch_count,notes
10000,0.01,4156.593066665421,22538.992436664925,0.1851095425581504,-442.8161957737262,38.47407023695393,Paired T-Test,-63.6060354277829,1.06362812883682e-32,True,ICC_SLOWER,30,False,
10000,0.05,4618.28351333279,28196.17466333281,0.1641680295647959,-514.3223539768326,57.474180285914144,Wilcoxon Signed-Rank,0.0,1.0,False,ICC_SLOWER,30,False,
10000,0.1,5909.124393335151,30763.202299999462,0.1904861182973378,-441.66724278204856,97.186563292791,Wilcoxon Signed-Rank,0.0,1.0,False,ICC_SLOWER,30,False,
50000,0.01,149225.128506667,599418.9278366673,0.2490222093684997,-302.1608311469173,15.024858539000412,Paired T-Test,-128.71195163063234,1.5211184765381096e-41,True,ICC_SLOWER,30,False,
50000,0.05,198792.1986833339,809665.268223334,0.2447419588135686,-315.8226325322986,56.09780050731936,Wilcoxon Signed-Rank,0.0,1.0,False,ICC_SLOWER,30,False,
50000,0.1,306703.28680333594,969178.5577100002,0.31186335029352397,-242.529893169725,94.0022726400332,Wilcoxon Signed-Rank,0.0,1.0,False,ICC_SLOWER,30,False,
